index,Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
470,2017-09-12,2464.485147885526,2464.181234918677,2470.7189024297777,2455.707712817037,3185964905.8989887,3257890333.240861,3060733942.281587,2461.0081899109377,2456.362708794238,2459.4210710788457,0.3617606882603468,63.85082054136755,11.010812702108199
471,2017-09-13,2466.4750603041252,2466.090818468515,2472.503956193358,2457.654476731116,3240927189.774794,3271693136.313966,3063030829.09869,2462.600235981755,2456.738503406189,2460.5063001904273,0.8976749914318134,66.6273167770058,11.271910971589735
472,2017-09-14,2468.688282494113,2468.185473886196,2474.545970741515,2459.821035820535,3396439802.115989,3288090507.436969,3071025510.6008577,2464.352071239914,2457.2905084040785,2461.7650666986865,1.483874292645396,67.29594193353849,11.455296708445198
473,2017-09-15,2471.1417501630053,2470.481491024343,2476.854605052423,2462.2303774133793,3506052463.694012,3318886463.2188745,3089014367.2201395,2466.276224118979,2458.019331584224,2463.207633385505,2.121955219688971,70.18659776805157,11.732617426919916
474,2017-09-18,2473.849898144773,2472.997593237668,2479.4364230216415,2464.904357178009,3494461147.091608,3364769101.7150784,3113813773.1357236,2468.38732230708,2458.9257225199153,2464.8449048869306,2.8137289448955016,71.04535079560443,12.459651197576026
475,2017-09-19,2476.8225402712956,2475.7479377970485,2482.293124830778,2467.859390171634,3445296404.524965,3416635401.440274,3139530032.802926,2470.700662882754,2460.0104458857786,2466.687618022987,3.5607854639697507,71.29149182338372,13.134753984613843
476,2017-09-20,2480.068730121857,2478.7457080084973,2485.423599105659,2471.1097001943776,3479948004.231068,3464439564.3315287,3165173071.3268003,2473.23164079075,2461.2746736694776,2468.7462506535826,4.364462719539915,72.32122687978347,13.172454528191855
477,2017-09-21,2483.587649772119,2481.99994847159,2488.820708332468,2474.6613054293416,3587588614.1276355,3502669326.7338576,3195032709.769226,2475.9945357078295,2462.720026756328,2471.0295428256654,5.225098459172841,60.820812158921065,13.207462175800009
478,2017-09-22,2487.3757147616975,2485.512404980933,2492.4715570650055,2478.5123298844487,3628120224.256038,3527082878.846263,3231260771.97255,2479.0007184991473,2464.348542182949,2473.5443385081317,6.142022260512931,65.48896398517684,13.006515840300334
479,2017-09-25,2491.418058663077,2489.280592902856,2496.3572778180646,2482.6515039814335,3507139741.5717983,3529618597.742301,3268344460.561066,2482.257318432185,2466.1625859731516,2476.2941416088925,7.112881478647523,60.98932900797479,12.098024357835785
480,2017-09-26,2495.692605928898,2493.291545364015,2500.4511881066487,2487.0578864505474,3301856343.8462405,3500930585.606556,3297079011.2011676,2485.766039945578,2468.1645564597493,2479.278520735047,8.133457212309622,54.50743358691734,11.297416782445088
481,2017-09-27,2500.1701013486636,2497.5246691267557,2504.721490697814,2491.7005311659864,3174434564.8191113,3439827897.7241645,3313517312.20568,2489.52183216923,2470.356523554583,2482.492610060219,9.19754373556043,58.88494948935811,11.24048151335583
482,2017-09-28,2504.8121148807086,2501.951911536349,2509.129173737846,2496.5399340666577,3181737380.992423,3358657651.097122,3322003527.149476,2493.5122247821814,2472.7398144939225,2485.926380032602,10.296717518606783,65.52158433091057,11.18761304920152
483,2017-09-29,2509.575505352898,2506.538641612897,2513.633372726706,2501.529101704991,3221059430.6224637,3277245492.370407,3328818341.069007,2497.7174721085744,2475.314711142063,2489.5647070049554,11.420537614004388,72.56402722216663,11.812153510377094
484,2017-10-02,2514.4101049029778,2511.241427016126,2518.1867564531663,2506.6128324947317,3176682494.375235,3211154042.9310946,3334659469.252163,2502.109638931229,2478.0799518027247,2493.3870759123433,12.556540927909282,77.01429435760504,13.044369296393347
485,2017-10-03,2519.262923222867,2516.0121500964965,2522.7406342661043,2511.7323199676507,3076428666.786983,3166068507.5192432,3335381206.9517336,2506.653759877725,2481.0321631542483,2497.367975498578,13.690596940926753,79.05992414487824,14.537773364229661
486,2017-10-04,2524.0762766741336,2520.7971510214757,2527.24414971908,2516.8225334123686,3054373459.2517915,3142056286.4057794,3329504221.1938596,2511.3082562566688,2484.165491299601,2501.476944910202,14.80705538095981,80.97382322804694,16.224607035817975
487,2017-10-05,2528.7929323269614,2525.539803680634,2531.646669156698,2521.819103910094,3169040129.001287,3139516836.007552,3322233580.3188753,2516.0258346855258,2487.471166603863,2505.67940451278,15.889289591113993,85.02553177820741,18.37374814869056
488,2017-10-06,2533.3530813463435,2530.1826561440153,2535.89813752744,2526.6560361305283,3312148743.6821504,3157734698.619489,3320237383.2637587,2520.7546375917495,2490.9372630796124,2509.9368932564053,16.91989193291147,85.60694043978357,20.369379182072244
489,2017-10-09,2537.701119719515,2534.666686639949,2539.9519484519674,2531.2693982275214,3330303270.8682256,3188458853.9180875,3323500149.0766406,2525.439689516514,2494.548492296752,2514.2083127122683,17.881376692772847,74.18878064080515,22.336980856139036
490,2017-10-10,2541.7870648644935,2538.936292764472,2543.765784505422,2535.6026604976614,3208256669.6137233,3214824454.4834356,3324614737.2623777,2530.0245180501092,2498.2862451890414,2518.4511976587646,18.75684468778809,74.56127101786964,24.325943548801614
491,2017-10-11,2545.5652935962926,2542.9407493711196,2547.303251251828,2539.6030569728537,3082556520.895642,3220461066.8122053,3316696203.81842,2534.4532377200385,2502.1287417341714,2522.622597033769,19.53039660906552,77.19336702962825,26.1733269743529
492,2017-10-12,2549.003416458688,2546.637145314679,2550.536936116361,2543.2318755053475,3070609571.3643045,3200774955.284809,3300404692.2808356,2538.6727060468465,2506.051325305596,2526.6811846376027,20.188153395567042,73.5784118908818,27.89349171914025
493,2017-10-13,2552.0746932319717,2549.991348753225,2553.4469291021883,2546.45770353795,3133148507.8994594,3164974908.1282706,3281759494.491108,2542.634444568689,2510.02681819204,2530.587878267506,20.718427618808164,68.94048709334646,29.61731249817074
494,2017-10-16,2554.7675841474734,2552.978377361325,2556.0241362876422,2549.2647141977986,3143553709.711714,3127624995.8969684,3264214122.622113,2546.296782712964,2514.0258573982223,2534.30783301827,21.11259470299592,70.66943635752077,31.318089124250537
495,2017-10-17,2557.0779076496588,2555.5854767514024,2558.2675038741572,2551.6477674041776,3069823332.9028244,3099938328.554789,3245440469.0410066,2549.6266195103503,2518.01773434594,2537.810921423099,21.365115008981775,72.49225039927848,32.91112185550317
496,2017-10-18,2559.0149984692857,2557.809725720099,2560.186519029489,2553.6155889919532,3030854545.177173,3089597933.411095,3222985796.088311,2552.600414780146,2521.970935231521,2541.0730871225123,21.474007222826913,68.9484215046713,34.64017296476518
