Date,score
2021-03-22,-0.5592768390973409
2021-03-23,-0.4564981162548065
2021-03-24,-0.5447717507680258
2021-03-25,-0.4574887951215108
2021-03-26,-0.18429237604141233
2021-03-29,-0.9271817207336426
2021-03-30,-0.9289009869098663
2021-03-31,0.7956724762916565
2021-04-01,0.19192180819809437
2021-04-05,0.541750892996788
2021-04-06,-0.2946624644100666
2021-04-07,-0.8415761391321818
2021-04-08,0.5742182036240896
2021-04-09,0.08996960520744324
2021-04-10,0.6427874565124512
2021-04-11,-0.9429818987846376
2021-04-12,-0.36400020122528076
2021-04-13,-0.9203649759292604
2021-04-14,0.08108103275299072
2021-04-15,0.09913811087608337
2021-04-16,0.8372517228126526
2021-04-19,-0.6653555613011122
2021-04-20,-0.47029547691345214
2021-04-21,-0.026562958955764732
