Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,score
1474243200,2150.9845467188034,2151.8606394091266,2155.6434209825206,2140.7682481578136,3974317354.4770646,3797771894.219832,3640596827.8933687,2153.9118811625035,2155.3494775872964,2154.229374190518,1.6363843879630622,45.93694844844318,26.3489290024813,0.0
1474329600,2150.402991254652,2151.043880811436,2155.044387449373,2140.198532986313,3953004269.506203,3856282283.976457,3668097408.9680033,2152.9180054736107,2155.4396056297123,2153.6406998926927,1.2099322047970418,42.955455677781075,26.45867975892301,0.0
1474416000,2150.099760421162,2150.441172188472,2154.6166352545106,2139.958801562842,3984744752.6389604,3924451215.7810225,3698150863.30301,2152.0124926307058,2155.4338526857127,2153.0959399739954,0.8378394910432689,53.205891599460315,25.23733932088173,0.0
1474502400,2150.117853789935,2150.1099514500256,2154.3976778348574,2140.099810299411,4088727996.24062,3986116920.161682,3732938232.0146093,2151.2571385906767,2155.3436642253923,2152.6377728687553,0.5382091778787981,56.186866870844725,23.856381143184894,0.0
1474588800,2150.4936931656507,2150.097219628315,2154.420854056393,2140.658782741833,4139006250.924932,4027960124.7575564,3773717148.1590953,2150.710572697475,2155.185252123378,2152.307914452893,0.3273041342554279,51.136000132146464,22.228217506641787,0.0
1474848000,2151.253095172984,2150.442403545027,2154.7137144453995,2141.6624488363627,4015963878.0245204,4036289429.4670467,3814328707.519114,2150.426925524655,2154.9792011959953,2152.145634563676,0.21891425582771265,44.610213898096895,21.856581978622927,0.0
1474934400,2152.4121126877376,2151.177707611905,2155.299594549816,2143.1268830029094,3765191096.469515,3998726794.8597093,3843481630.001575,2150.4536908847485,2154.7501607552413,2152.186631198147,0.22395589919597114,52.26261637678239,21.695459379264808,0.0
1475020800,2153.9659203520705,2152.3201792761347,2156.1869452962474,2145.0480308757337,3557875763.9991455,3913352997.1317463,3854122017.7856827,2150.8294923022813,2154.5258267059553,2152.4603679910583,0.3493041696538057,56.85836392377805,20.713514170623746,0.0
1475107200,2155.899130711987,2153.8701577324437,2157.3776218740977,2147.4059131677727,3499721771.90807,3795551752.265237,3849106647.191885,2151.581533558765,2154.3359540857805,2152.9894084096627,0.5977470408074623,47.296745491454544,20.181796802038505,0.0
1475193600,2158.186263788616,2155.8152738532845,2158.8626697199566,2150.1671964321927,3525913115.716951,3672933125.22364,3836680745.0539365,2152.725144403759,2154.2112703375424,2153.788924621809,0.9680334440827209,53.16105010367174,19.491914083596484,0.0
1475452800,2160.7843377377126,2158.132224448018,2160.625007019217,2153.2812504724725,3509232196.1314697,3571586788.8450303,3821693984.262716,2154.2631085843573,2154.1825276384725,2154.865142024256,1.4543659161599862,51.44691436848442,18.959824147240838,0.0
1475539200,2163.640299574453,2160.780286597983,2162.6386412940606,2156.683974040113,3436695792.825633,3505887728.116254,3803364762.648599,2156.183624381573,2154.2791487575896,2156.215166262748,2.0466476756628253,44.76499933129775,19.10397640047753,0.0
1475625600,2166.692486263266,2163.706894843669,2164.8670765242414,2160.3018206201295,3424126792.243373,3479137933.7650995,3781326362.622681,2158.46096749508,2154.5281376907506,2157.827061647443,2.7308417510112117,47.493117046556975,19.237832064197317,0.0
1475712000,2169.864498981633,2166.849821276766,2167.2659378220083,2164.0457470104147,3552713354.4424686,3489736250.27198,3760956706.8767977,2161.056900203944,2154.9528324033345,2159.678975083473,3.4888085881366346,49.06877180435447,19.647866061264068,0.0
1475798400,2173.075335961108,2170.1322517207814,2169.7824031968203,2167.821039646149,3740090297.2210116,3532571686.5727906,3750006616.342618,2163.9202957774437,2155.571754642801,2161.739953680032,4.299033890935334,43.10536537341627,20.3356851303104,0.0
1476057600,2176.2391736681934,2173.471418971211,2172.3578021281155,2171.528007485992,3818687143.2827883,3594462676.0030546,3750027697.1337404,2166.988134682082,2156.397512488399,2163.9706029089793,5.13721986957944,45.43965569007535,20.597878510939037,0.0
1476144000,2179.2657220776928,2176.7775042875405,2174.928228028683,2175.0597592674144,3728433064.887245,3652810130.415377,3753426734.3419476,2170.1875782199936,2157.435724739981,2166.3236981657046,5.976808530875587,33.721028373041655,22.308501209721197,0.0
1476230400,2182.072614486401,2179.9597898470506,2177.4302880053547,2178.3198837323002,3582062110.364843,3684397194.039672,3750334835.179384,2173.43815722067,2158.6852774121844,2168.7466083688887,6.790405782091511,34.87980471753532,23.89693657287607,0.0
1476316800,2184.576125983549,2182.930565927096,2179.801988548776,2181.210679581196,3524265044.3833146,3678707532.0278406,3737528113.6816845,2176.654306150736,2160.137469626031,2171.1819187711444,7.55016630310638,36.766014497810716,25.97424943301015,0.0
1476403200,2186.702873764504,2185.604176873915,2181.982769361201,2183.6471053264536,3562875951.5405264,3643264662.8917437,3719182399.861433,2179.7486911813626,2161.77617601501,2173.5697580008928,8.229033584967965,33.565977950909684,26.91160061291321,0.0
1476662400,2188.385774178337,2187.898897875877,2183.912560470624,2185.5492573756255,3585355637.545042,3596598361.7441936,3699734314.014832,2182.634186962296,2163.578088938348,2175.8491451051145,8.801379966048444,30.67448029810164,28.089110963323847,0.0
1476748800,2189.5721349626324,2189.744118464651,2185.5416969148373,2186.8550963054213,3530721669.4669366,3557056082.660133,3678620184.012868,2185.2275097977176,2165.5131008210087,2177.9603743139637,9.244137336114363,31.992670882217965,28.441556509775467,0.0
1476835200,2190.220047078576,2191.0806044012365,2186.825142993669,2187.5162329852187,3489531836.173951,3538550027.8219547,3653859538.189618,2187.451672708555,2167.545072431646,2179.8464778162115,9.537366016086251,35.702917426803005,28.438060418274123,0.0
1476921600,2190.304977255259,2191.86358402912,2187.7286024026707,2187.504254779143,3597935913.0462523,3553284201.5545416,3629319934.0299,2189.23827632896,2169.6327540606007,2181.4554777299113,9.665190710887146,34.98112307207437,28.647987654374838,0.0
1477008000,2189.821128109639,2192.0651667833304,2188.2298048029943,2186.812389354688,3858047925.266462,3612318596.299728,3615272017.746976,2190.5304743108427,2171.731151418352,2182.742500865254,9.616595987665733,37.096657963609424,28.994552162423094,0.0
1477267200,2188.7800011812046,2191.677080431717,2188.3203838190625,2185.455301626113,4115881557.838468,3718423780.358413,3620267901.7376733,2191.2861108220113,2173.7928852626865,2183.671347067708,9.385879500962801,40.65057349216608,28.287586451139468,0.0
1477353600,2187.209239286828,2190.706543421056,2188.0011842744298,2183.4639642417146,4229049778.9208055,3858089402.2491884,3643460835.860238,2191.478595813292,2175.769327053144,2184.2156381783416,8.972854187886696,35.43054287507867,27.893594165302826,0.0
1477440000,2185.1561340906246,2189.180658249693,2187.2886410372325,2180.8931299795113,4216647529.313239,4003512540.877045,3676399424.125942,2191.0986065829834,2177.612351001822,2184.3603298571547,8.383223637057199,38.74868358826328,28.036329989511962,0.0
1477526400,2182.6834505583574,2187.1470948752035,2186.213051135561,2177.816862258854,4207994917.267385,4125524341.7212725,3711813081.393908,2190.1553087522,2179.27619785896,2184.1023484265697,7.628475959194474,30.77772048667346,28.04580406677649,0.0
1477612800,2179.868488122123,2184.6663760284505,2184.8148102287187,2174.323709698718,4262142499.9286385,4206343256.653707,3748624550.604492,2188.675550601224,2180.7187529677185,2183.450985302809,6.725659823971,27.42567866942323,28.66201874966217,0.0
